brewery,link,type,address
Dawson Trail Craft Brewery,/brewers/dawson-trail-craft-brewery/28067/,Microbrewery,"1181 Golf Links Rd, Thunder Bay, Ontario, P7B 7A3, Canada"
Dead Frog Brewery,/brewers/dead-frog-brewery/712/,Microbrewery,"8860 201 St #105, Langley Twp, British Columbia, V2Y 0C8, Canada"
Decew Falls Brewing Company,/brewers/decew-falls-brewing-company/33028/,Microbrewery,"207 St Paul St W, St. Catharines, Ontario, L2S 2E1, Canada"
Deep Cove Brewers and Distillers,/brewers/deep-cove-brewers-and-distillers/16866/,Microbrewery,"Unit 170 - 2270 Dollarton Hwy, North Vancouver, British Columbia, V7H 1A8, Canada"
Deep Dark Wood Brewing Company,/brewers/deep-dark-wood-brewing-company/34338/,Microbrewery,"2A Collins Lane, Whitehorse, Yukon, Y1A 0A8, Canada"
Délires et Délices - Microbrasserie,/brewers/delires-et-delices-microbrasserie/29641/,Brewpub,"1626, Rue de Bourgogne, Chambly, Quebec, J3L 1Y7, Canada"
Delta Brewing Company,/brewers/delta-brewing-company/39657/,Microbrewery,"Carrington Rise NW, Calgary, Alberta, T3P 0Y7, Canada"
Delta Force Brewing,/brewers/delta-force-brewing/43079/,Microbrewery,"Greenwich, Nova Scotia, Canada"
Des Cantons (Collectif Brassicole Ensemble),/brewers/des-cantons-collectif-brassicole-ensemble/30331/,Brewpub/Brewery,"1500, Rue Nobel, Boucherville, Quebec, J4B 5H3, Canada"
Detention Brewing,/brewers/detention-brewing/48526/,Brewpub,"212 Highway 854, Rosalind, Alberta, T0B 3Y0, Canada"
Detonate Brewing,/brewers/detonate-brewing/30252/,Microbrewery,"#104 9503 Cedar Ave, Summerland, British Columbia, Canada"
Devil May Care Brewing Company,/brewers/devil-may-care-brewing-company/36298/,Client Brewer,"155-A Fort St, Winnipeg, Manitoba, R3C 1C8, Canada"
Devils' Bath Brewing Co.,/brewers/devils39-bath-brewing-co/43842/,Brewpub,"1616 McNeill Rd, Port McNeill, British Columbia, V0N 2R0, Canada"
Dildo Brewing Co.,/brewers/dildo-brewing-co/40597/,Brewpub/Brewery,"1 Front Road, Dildo, Newfoundland, A0B 1P0, Canada"
Dirty Laundry Vineyard,/brewers/dirty-laundry-vineyard/40379/,Client Brewer,"7311 Fiske St, Summerland, British Columbia, V0H 1Z2, Canada"
Distillerie Fils du Roy,/brewers/distillerie-fils-du-roy/24914/,Microbrewery,"599, chemin Principal, Petit-Paquetville, New Brunswick, E8R 1H3, Canada"
District Brewing Co.,/brewers/district-brewing-co/18104/,Microbrewery,"1555 8th Ave, Regina, Saskatchewan, S4R 1E6, Canada"
Dockside Brewing Company (Canada),/brewers/dockside-brewing-company-canada/3243/,Brewpub,"1253 Johnston St., Vancouver, British Columbia, V6H 3R9, Canada"
Dog House Brewing Company,/brewers/dog-house-brewing-company/45366/,Microbrewery,"3477A Petawawa Blvd, Petawawa, Ontario, K8H 1X2, Canada"
Dog Island Brewing,/brewers/dog-island-brewing/32419/,Microbrewery,"250 Caribou Trail SW, Slave Lake, Alberta, T0G 2A0, Canada"
Dog Mountain Brewing,/brewers/dog-mountain-brewing/42210/,Brewpub/Brewery,"3141 3rd Ave, Port Alberni, British Columbia, V9Y 4C4, Canada"
Dogwood Brewing (Canada),/brewers/dogwood-brewing-canada/19865/,Microbrewery,"8284 Sherbrooke Street, Vancouver, British Columbia, V5X4R6, Canada"
Domaine Berthiaume - Ferme Brassicole,/brewers/domaine-berthiaume-ferme-brassicole/28265/,Brewpub/Brewery,"562, Chemin du Petit-Bernier, Saint-Jean-sur-Richelieu, Quebec, J3B 4Y2, Canada"
Dominion City Brewing Co.,/brewers/dominion-city-brewing-co/20446/,Microbrewery,"5510 Canotek Rd Unit 15, Ottawa, Ontario, K1J 9J4, Canada"
Double Trouble Brewing Co. (United Craft),/brewers/double-trouble-brewing-co-united-craft/13637/,Client Brewer,"Ontario, Canada"
Dragan Brewing & Wine,/brewers/dragan-brewing-wine/44160/,Microbrewery,"6283 Riall Street, Niagara Falls, Ontario, L2J 4G7, Canada"
Driftwood Brewery,/brewers/driftwood-brewery/9970/,Microbrewery,"#102-450 Hillside Ave., Victoria, British Columbia, V8T1Y7, Canada"
Drummond Brewing Company / Something Brewing,/brewers/drummond-brewing-company-something-brewing/10231/,Commercial Brewery,"#8, 6610 71 Street, Red Deer, Alberta, T4P 3Y7, Canada"
Duggan's Brewery,/brewers/duggan39s-brewery/10929/,Brewpub/Brewery,"1346 Queen St West, Toronto, Ontario, M6K 1L4, Canada"
Dundas & Sons Brewing Company,/brewers/dundas-sons-brewing-company/38109/,Microbrewery,"400 Adelaide St N, London, Ontario, N6B 3H6, Canada"
Dune Hopper Brewing,/brewers/dune-hopper-brewing/52848/,Microbrewery,"1613 County Road 12 Unit B, Picton, Ontario, K0K 2T0, Canada"
Dunvegan Brewing Company,/brewers/dunvegan-brewing-company/36398/,Commercial Brewery,"50080 AB-49, Rycroft, Alberta, T0H3A0, Canada"
East Van Brewing Company,/brewers/east-van-brewing-company/22573/,Microbrewery,"1675 Venables St., Vancouver, British Columbia, V5L 2H1, Canada"
Eastbound Brewing Co.,/brewers/eastbound-brewing-co/32484/,Brewpub/Brewery,"700 Queen St E, Toronto, Ontario, M4M 1G9, Canada"
Echo Session Ales,/brewers/echo-session-ales/39863/,Client Brewer,"Quebec, Canada"
Edmonton Brewing & Malting Co.,/brewers/edmonton-brewing-malting-co/48373/,Microbrewery,"11904-104 Avenue NW, Edmonton, Alberta, Canada"
Eighty Eight Brewing Company ['88],/brewers/eighty-eight-brewing-company-3988/36894/,Microbrewery,"1070 - 2600 Portland St SE, Calgary, Alberta, T2G 4M6, Canada"
Elbeck Brews,/brewers/elbeck-brews/29809/,Client Brewer,"Edmonton, Alberta, Canada"
Electric Bicycle Brewing,/brewers/electric-bicycle-brewing/34780/,Microbrewery,"20 4th Ave East, Vancouver, British Columbia, V5T 1E8, Canada"
Elite Brewing & Cidery,/brewers/elite-brewing-cidery/36890/,Microbrewery,"105D 58th Ave Southeast, Calgary, Alberta, T2H 0N8, Canada"
Elora Brewing Co.,/brewers/elora-brewing-co/22118/,Microbrewery,"107 Geddes Street, Elora, Ontario, N0B 1S0, Canada"
Emporium - Microbrasserie,/brewers/emporium-microbrasserie/38210/,Brewpub/Brewery,"5350, Boulevard Henri-Bourassa, Québec, Quebec, G1H 6Y8, Canada"
Empty Keg Brew House,/brewers/empty-keg-brew-house/39844/,Brewpub/Brewery,"2190 Voght St., Merritt, British Columbia, V1K 1R6, Canada"
Endeavour Brewing Company,/brewers/endeavour-brewing-company/38526/,Microbrewery,"Suite 4A, 215 Carnegie Drive, St. Albert, Alberta, T8N 5B1, Canada"
Épitaphe,/brewers/epitaphe/38366/,Client Brewer,"Quebec, Canada"
Erie Creek Brewing Co.,/brewers/erie-creek-brewing-co/42936/,Microbrewery,"117 Fourth Street, Salmo, British Columbia, V0G 1Z0, Canada"
EtOH - Brasserie,/brewers/etoh-brasserie/18514/,Brewpub,"8100, Rue Saint-Denis, Montréal, Quebec, H2P 2H1, Canada"
Evergreen Craft Ales,/brewers/evergreen-craft-ales/27294/,Microbrewery,"21-767 Silver Seven Road, Ottawa, Ontario, K1V 0H1, Canada"
Evermoore Brewing Company,/brewers/evermoore-brewing-company/37849/,Brewpub/Brewery,"192 Water St., Summerside, Prince Edward Island, C1N 1B1, Canada"
Evil Corporation Brewing,/brewers/evil-corporation-brewing/40175/,Microbrewery,"1220 20 Ave SE, Calgary, Alberta, T2T 1M8, Canada"
EXP - Artisan Brasseur,/brewers/exp-artisan-brasseur/40156/,Microbrewery,"1970 Rue de l'Interlude, Québec, Quebec, G3K 0R6, Canada"
Faculty Brewing Co.,/brewers/faculty-brewing-co/28142/,Microbrewery,"1830 Ontario St, Vancouver, British Columbia, V5T 2W6, Canada"
Fairweather Brewing Co.,/brewers/fairweather-brewing-co/31636/,Microbrewery,"5 Ofield Rd, Hamilton, Ontario, L8S 2M4, Canada"
Falcon Brewing Company (Canada),/brewers/falcon-brewing-company-canada/17522/,Microbrewery,"30 Barr Road, Ajax, Ontario, L1S 7H1, Canada"
Farm Country Brewing,/brewers/farm-country-brewing/39914/,Microbrewery,"20555 56 Ave #5, Langley City, British Columbia, V3A 3Y9, Canada"
Farm League Brewing,/brewers/farm-league-brewing/46746/,Microbrewery,"295 Ainslie St S, Cambridge, Ontario, N1R 3L3, Canada"
Farmery Estate Brewery,/brewers/farmery-estate-brewery/14050/,Microbrewery,"480 MB-5, Neepawa, Manitoba, R0j 1H0, Canada"
Farmhouse Brewing Co.,/brewers/farmhouse-brewing-co/44196/,Microbrewery,"6385 Lickman Rd, Chilliwack, British Columbia, V2R 4A9, Canada"
Farnham - Ale & Lager (Canada),/brewers/farnham-ale-lager-canada/17425/,Brewpub/Brewery,"401, Boulevard de Normandie Nord, Farnham, Quebec, J2N 1W5, Canada"
Fat Unicorn Brewery,/brewers/fat-unicorn-brewery/23387/,Microbrewery,"100, 9024-90 Ave, Lac La Biche, Alberta, T0A 2T0, Canada"
Federation of Beer,/brewers/federation-of-beer/19191/,Client Brewer,"PO Box 70065, Creekside RPO Airdrie, Alberta, T4B 0V9, Canada"
Fenelon Falls Brewing Co.,/brewers/fenelon-falls-brewing-co/36702/,Microbrewery,"4 May St, Fenelon Falls, Ontario, K0m1n0, Canada"
Ferme Brasserie Schoune,/brewers/ferme-brasserie-schoune/902/,Brewpub/Brewery,"2075, Chemin Sainte-Catherine, Saint-Polycarpe, Quebec, J0P 1X0, Canada"
Ferme du Tarieu - Brasserie & Distillerie,/brewers/ferme-du-tarieu-brasserie-distillerie/39306/,Brewpub/Brewery,"705, 2e Avenue, Sainte-Anne-de-la-Pérade, Quebec, G0X 2J0, Canada"
Fermentation Lab,/brewers/fermentation-lab/51714/,Client Brewer,"2120 Albert Street, Regina, Saskatchewan, S4T 2A1, Canada"
Fern + Cedar Brewing,/brewers/fern-cedar-brewing/47973/,Brewpub/Brewery,"680 Berwick Rd S #101, Qualicum Beach, British Columbia, V9K1R2, Canada"
Fernie Brewing Co.,/brewers/fernie-brewing-co/4117/,Microbrewery,"26 Manitou Road, Fernie, British Columbia, V0B 1M5, Canada"
Field & Forge Brewing Co.,/brewers/field-forge-brewing-co/41860/,Microbrewery,"3775 61 Ave, Innisfail, Alberta, T4G 1V9, Canada"
Field House Brewing Co.,/brewers/field-house-brewing-co/25687/,Microbrewery,"2281 Railway Street, Abbotsford, British Columbia, V2S 2E3, Canada"
Fine Balance Brewing Company,/brewers/fine-balance-brewing-company/44427/,Microbrewery,"677 Innovation Dr Unit 4, Kingston, Ontario, K7K 7E6, Canada"
Firehall Brewery,/brewers/firehall-brewery/14348/,Brewpub/Brewery,"6077 Main Street, Oliver, British Columbia, V0H 1T0, Canada"
FirkinStein Brewing,/brewers/firkinstein-brewing/24485/,Microbrewery,"371 Baker Rd., Bridgewater, Nova Scotia, B0R 1G0, Canada"
Fisher Peak Brewing Company,/brewers/fisher-peak-brewing-company/17402/,Brewpub,"821 Baker Street, Cranbrook, British Columbia, V1C1A3, Canada"
Fitzsimmons Brewing Company,/brewers/fitzsimmons-brewing-company/35367/,Microbrewery,"4 - 220 East Lake Blvd NE, Airdrie, Alberta, T4A 2G2, Canada"
Five Roads Brewing Co.,/brewers/five-roads-brewing-co/39666/,Microbrewery,"#1 - 6263 202nd St, Langley City, British Columbia, V2Y 1N1, Canada"
Fixed Gear Brewing Co.,/brewers/fixed-gear-brewing-co/37419/,Microbrewery,"20 Alma St S, Guelph, Ontario, N1H 5W5, Canada"
Flashback Brewing Co. (Canada),/brewers/flashback-brewing-co-canada/38823/,Brewpub/Brewery,"#1 - 9360 Mill St, Chilliwack, British Columbia, V2P 4N2, Canada"
Flora Hall Brewing,/brewers/flora-hall-brewing/33439/,Brewpub/Brewery,"37 Flora St., Ottawa, Ontario, K2P 1A7, Canada"
Flux Brewing Co.,/brewers/flux-brewing-co/43880/,Microbrewery,"185 Oakland Road, Scotland, Ontario, N0E 1R0, Canada"
Flyby Brewing Company,/brewers/flyby-brewing-company/48702/,Microbrewery,"2223 Hamilton Rd, Trenton, Ontario, K8V 5P8, Canada"
Flying Boats Brewing,/brewers/flying-boats-brewing/23688/,Microbrewery,"700 Malenfant Blvd, Dieppe, New Brunswick, E1A 5V8, Canada"
Flying Monkeys Craft Brewery,/brewers/flying-monkeys-craft-brewery/5547/,Microbrewery,"107 Dunlop St E, Barrie, Ontario, L4M 1A6, Canada"
Foamers' Folly,/brewers/foamers39-folly/25443/,Microbrewery,"19221 122a Ave, Pitt Meadows, British Columbia, V3Y 2E9, Canada"
Focal Brewing Company (Canada),/brewers/focal-brewing-company-canada/48575/,Microbrewery,"98 County Rd 35, Hastings, Ontario, K0L 1Y0, Canada"
Foghorn Brewing Company,/brewers/foghorn-brewing-company/31129/,Microbrewery,"47 Clark Road, Rothesay, New Brunswick, E2E 2K9, Canada"
Fogorig Brewing,/brewers/fogorig-brewing/49899/,Microbrewery,"2445 County Rd 8, Campbellford, Ontario, K0L 1L0, Canada"
Folding Mountain Brewing,/brewers/folding-mountain-brewing/32420/,Microbrewery,"49321 Highway 16, Jasper East, Alberta, Canada"
Folly Brewing,/brewers/folly-brewing/22187/,Brewpub/Brewery,"928 College St, Toronto, Ontario, M6H 1A4, Canada"
Forked River Brewing Company,/brewers/forked-river-brewing-company/16897/,Microbrewery,"45 Pacific Court, Unit 16, London, Ontario, N5V 3N4, Canada"
Formosa Springs Brewing Company,/brewers/formosa-springs-brewing-company/35456/,Microbrewery,"1120 Bruce Rd 12, Formosa, Ontario, N0G 1W0, Canada"
Fort Garry Brewing,/brewers/fort-garry-brewing/2492/,Microbrewery,"130 Lowson Crescent, Winnipeg, Manitoba, R3P 2H8, Canada"
Foundry Brewing Co.,/brewers/foundry-brewing-co/44815/,Microbrewery,"74 Grand Avenue S, Cambridge, Ontario, N1S 2K9, Canada"
Four Dogs Brewing Company,/brewers/four-dogs-brewing-company/46940/,Microbrewery,"1205 1 St SW, Calgary, Alberta, T2R 0V3, Canada"
Four Fathers Brewing Co. (Canada),/brewers/four-fathers-brewing-co-canada/27824/,Microbrewery,"125 Guelph Ave, Cambridge, Ontario, N3C 1A5, Canada"
Four Rivers Brewing,/brewers/four-rivers-brewing/34293/,Microbrewery,"335 Murray Ave, Bathurst, New Brunswick, Canada"
Four Winds Brewing Co.,/brewers/four-winds-brewing-co/16851/,Microbrewery,"4 - 7355 72 St., Delta, British Columbia, V4G 1L5, Canada"
Fox Hills Cider,/brewers/fox-hills-cider/52816/,Commercial Brewery,"Ardrossan, Alberta, Canada"
Fox Mountain Brewing Co.,/brewers/fox-mountain-brewing-co/43597/,Brewpub,"215 Donald Rd, Williams Lake, British Columbia, V2G 4K4, Canada"
Frampton Brasse - Ferme Brassicole,/brewers/frampton-brasse-ferme-brassicole/13239/,Brewpub/Brewery,"430, 5e Rang, Frampton, Quebec, G0R 1M0, Canada"
Frank Brewing Co.,/brewers/frank-brewing-co/25338/,Brewpub/Brewery,"12000 Tecumseh Rd E, Windsor, Ontario, N8N 1L9, Canada"
Fraser Mills Fermentation Co.,/brewers/fraser-mills-fermentation-co/43228/,Microbrewery,"3044 St. Johns Street, Port Moody, British Columbia, V3H 2C5, Canada"
Freddy's Brewpub,/brewers/freddy39s-brewpub/5669/,Brewpub,"948 McCurdy Rd, Kelowna, British Columbia, Canada"
Freehold Brewing Co.,/brewers/freehold-brewing-co/33877/,Microbrewery,"#209, 10836 - 24 Street SE, Calgary, Alberta, T2Z 4C9, Canada"
Fuggles Beer,/brewers/fuggles-beer/19105/,Microbrewery,"11220 Horseshoe Way, Richmond, British Columbia, V7A 4V5, Canada"
Full Beard Brewing Co.,/brewers/full-beard-brewing-co/29860/,Microbrewery,"219 Wilson Ave, Timmins, Ontario, P4N 2TC, Canada"
FullGeek BrewLab,/brewers/fullgeek-brewlab/48257/,Microbrewery,"1875 Pembina Hwy Unit 9, Winnipeg, Manitoba, R3T 2G7, Canada"
Furnace Room Brewery,/brewers/furnace-room-brewery/41399/,Brewpub/Brewery,"1A Elgin St, Georgetown, Ontario, L7G3M2, Canada"
Gahan House / Gahan Beer (Murphy Hospitality Group),/brewers/gahan-house-gahan-beer-murphy-hospitality-group/20812/,Brewpub,"126 Sydney Street, Charlottetown, Prince Edward Island, C1A, Canada"
Gainsbourg - Bistro Brasserie,/brewers/gainsbourg-bistro-brasserie/15991/,Brewpub/Brewery,"9, Rue Aubry, Gatineau, Quebec, J8X 2H1, Canada"
Galaxie Craft Brewhouse,/brewers/galaxie-craft-brewhouse/46817/,Microbrewery,"1122 Vidal Street, White Rock, British Columbia, V4B 3T3, Canada"
Gambrinus - Artisan Brasseur,/brewers/gambrinus-artisan-brasseur/1804/,Brewpub,"3160, Boulevard des Forges, Trois-Rivières, Quebec, G8Z 1V6, Canada"
Gan Brewing Company,/brewers/gan-brewing-company/13644/,Microbrewery,"9 King Street East, Gananoque, Ontario, K7G 1E7, Canada"
Ganaraska Brewing,/brewers/ganaraska-brewing/47755/,Microbrewery,"33 Mill St S, Port Hope, Ontario, L1A 2S6, Canada"
Garage Time Brewing Company,/brewers/garage-time-brewing-company/46968/,Microbrewery,"658 Danforth Rd, Wellington, Ontario, K0K 3L0, Canada"
Garrison Brewing Company,/brewers/garrison-brewing-company/1530/,Microbrewery,"1149 Marginal Rd., Halifax, Nova Scotia, B3H 4P7, Canada"
Gaspard Brasserie Artisanale,/brewers/gaspard-brasserie-artisanale/51194/,Microbrewery,"280 Bd du Fort-Saint-Louis, Boucherville, Quebec, J4B 1S1, Canada"
Gateway City Brewery,/brewers/gateway-city-brewery/38486/,Microbrewery,"600-612 Gormanville Rd Unit 206, North Bay, Ontario, P1B 9S7, Canada"
GéniALE - Développement Brassicole,/brewers/geniale-developpement-brassicole/34950/,Client Brewer,"1100 Rue Notre-Dame O, Local A-1243, Montreal, Quebec, 2C3 E50, Canada"
Giant's Head Brewing,/brewers/giant39s-head-brewing/47527/,Brewpub,"13224 Victoria Rd N, Summerland, British Columbia, Canada"
Gillingham Brewing Company,/brewers/gillingham-brewing-company/39788/,Microbrewery,"1316 Wilson Road, Hillier, Ontario, K0K 2J0, Canada"
GL Heritage Brewing Co.,/brewers/gl-heritage-brewing-co/34208/,Brewpub/Brewery,"8728 Howard Avenue, Amherstburg, Ontario, N9V0C8, Canada"
Gladstone Brewing Company,/brewers/gladstone-brewing-company/21926/,Microbrewery,"244 4 Street, Courtenay, British Columbia, V9N, Canada"
Glasstown Brewing Company (Canada),/brewers/glasstown-brewing-company-canada/51567/,Microbrewery,"331 James St, Wallaceburg, Ontario, N8A 2N5, Canada"
Goat Locker Brewing Company,/brewers/goat-locker-brewing-company/26885/,Client Brewer,"1006 11 Ave SW #200, Calgary, Alberta, T2R 0G3, Canada"
Godspeed Brewery,/brewers/godspeed-brewery/31976/,Brewpub/Brewery,"242 Coxwell Ave, Toronto, Ontario, M4L 3B2, Canada"
Gold Crown Brewery / The Lion Brewery,/brewers/gold-crown-brewery-the-lion-brewery/2781/,Brewpub/Brewery,"59 King Street North, Waterloo, Ontario, N2J 2X2, Canada"
Goldenfield Brewery,/brewers/goldenfield-brewery/51530/,Microbrewery,"71 Sunrise Ave, Toronto, Ontario, M4A 1A9, Canada"
Good Buddy Brewing Co.,/brewers/good-buddy-brewing-co/36530/,Client Brewer,"British Columbia, Canada"
Good Mood Brewery,/brewers/good-mood-brewery/38185/,Microbrewery,"4416 64 Ave SE #2123, Calgary, Alberta, T2C 2B3, Canada"
Good Neighbour Brewing Co.,/brewers/good-neighbour-brewing-co/46091/,Client Brewer,"1180 Sanford Street, Winnipeg, Manitoba, Canada"
Good Prospects Brewing Company,/brewers/good-prospects-brewing-company/45968/,Microbrewery,"411 St. Laurent Blvd, Ottawa, Ontario, K1K 2Z6, Canada"
Good Robot Brewing Company,/brewers/good-robot-brewing-company/22964/,Microbrewery,"14 Industrial Way, Elmsdale, Nova Scotia, B2S 2L4, Canada"
GoodLot Farmstead Brewing Co.,/brewers/goodlot-farmstead-brewing-co/34505/,Microbrewery,"18825 Shaws Creek Rd, Caledon, Ontario, L7K 1L3, Canada"
Goose Island Toronto Brewhouse (AB-InBev),/brewers/goose-island-toronto-brewhouse-ab-inbev/32315/,Brewpub,"90 The Esplanade, Toronto, Ontario, Canada"
GP Brewing Co.,/brewers/gp-brewing-co/26572/,Microbrewery,"10518-100th Ave, Grande Prairie, Alberta, T8V 0V9, Canada"
Grain & Grit Beer Co.,/brewers/grain-grit-beer-co/32154/,Microbrewery,"11 Ewen Road, Hamilton, Ontario, L9H 2E7, Canada"
Grain Bin Brewing Company,/brewers/grain-bin-brewing-company/29124/,Microbrewery,"R104 8504 - 112 Street, Grand Prairie, Alberta, T8V 5X4, Canada"
Grain to Glass Brewing Company,/brewers/grain-to-glass-brewing-company/41573/,Client Brewer,"579 St. Mary's Road, Winnipeg, Manitoba, Canada"
Grand Falls Brewing Co.,/brewers/grand-falls-brewing-co/43143/,Microbrewery,"651 Rue Main Street, Grand Falls, New Brunswick, E3Z 2W6, Canada"
Grand Monk Artisan Ales,/brewers/grand-monk-artisan-ales/26240/,Microbrewery,"Main st, Moncton, New Brunswick, Canada"
Grand River Brewing (Magnotta),/brewers/grand-river-brewing-magnotta/8650/,Microbrewery,"295 Ainslie Street South (Galt), Cambridge, Ontario, N1R 3L3, Canada"
Granville Island Brewing (Six Pints - Molson Coors),/brewers/granville-island-brewing-six-pints-molson-coors/954/,Microbrewery,"1441 Cartwright St., Vancouver, British Columbia, V6H 3R7, Canada"
Graystone Brewing,/brewers/graystone-brewing/27718/,Microbrewery,"221 King Street, Fredericton, New Brunswick, E3B 1J4, Canada"
Great Lakes Brewery (Canada),/brewers/great-lakes-brewery-canada/81/,Microbrewery,"30 Queen Elizabeth Boulevard, Etobicoke, Ontario, M8Z 1L8, Canada"
Great Western Brewing (Canada),/brewers/great-western-brewing-canada/491/,Commercial Brewery,"519 Second Ave N, Saskatoon, Saskatchewan, S7K 2C6, Canada"
Grey Matter Beer Company,/brewers/grey-matter-beer-company/36571/,Microbrewery,"726 Queen Street, Kincardine, Ontario, N2Z 1Z8, Canada"
Gridiron Brewing,/brewers/gridiron-brewing/38072/,Microbrewery,"74 St James St, Hampton, New Brunswick, E5N 5W5, Canada"
Griendel - Brasserie Artisanale,/brewers/griendel-brasserie-artisanale/24899/,Brewpub/Brewery,"195, Rue Saint-Vallier Ouest, Québec, Quebec, G1K 1J9, Canada"
Grimoire - Microbrasserie,/brewers/grimoire-microbrasserie/5450/,Brewpub/Brewery,"223, Rue Principale, Granby, Quebec, J2G 2V7, Canada"
Grimross Brewing Company,/brewers/grimross-brewing-company/16135/,Microbrewery,"422 Queen Street, Fredericton, New Brunswick, E3B 1B5, Canada"
Grist and Mash Brewery,/brewers/grist-and-mash-brewery/45738/,Microbrewery,"345 Wallinger Ave, Kimberley, British Columbia, V1A ZE3, Canada"
Groupe Geloso,/brewers/groupe-geloso/412/,Commercial Brewery,"3838, Boulevard Leman, Laval, Quebec, H7E 1A1, Canada"
Grove Brew House (Canada),/brewers/grove-brew-house-canada/32950/,Brewpub/Brewery,"Wigle Ave Unit 1, Kingsville, Ontario, N9Y 2J8, Canada"
Half Cocked Brewing Company,/brewers/half-cocked-brewing-company/35505/,Microbrewery,"1290 Highway 245, Antigonish, Nova Scotia, B2G 2L1, Canada"
Half Cut Brewing Company,/brewers/half-cut-brewing-company/42131/,Microbrewery,"67 Main St, Fredericton, New Brunswick, E3A 1C2, Canada"
Half Hitch Brewing Company,/brewers/half-hitch-brewing-company/22348/,Microbrewery,"Unit 1, 10 Industrial Point, Cochrane, Alberta, T4C 0A2, Canada"
Half Pints Brewing Co.,/brewers/half-pints-brewing-co/6506/,Microbrewery,"550 Roseberry St., Winnipeg, Manitoba, R3H 0T1, Canada"
Haliburton Highlands Brewing,/brewers/haliburton-highlands-brewing/20201/,Brewpub/Brewery,"1067 Garden Gate Drive, Haliburton, Ontario, K0M 1S0, Canada"
Hallett Brewing,/brewers/hallett-brewing/52111/,Brewpub,"408 Scott St, Fort Frances, Ontario, P9A 1H2, Canada"
Halo Brewery,/brewers/halo-brewery/27203/,Microbrewery,"247 Wallace Ave, Toronto, Ontario, M6H 1V5, Canada"
Hampton Brewing Co.,/brewers/hampton-brewing-co/39183/,Microbrewery,"64 Robertson Road, Hampton, New Brunswick, E5N 6N8, Canada"
Happy Craft Brewing,/brewers/happy-craft-brewing/46982/,Brewpub/Brewery,"800 Main Street, Moncton, New Brunswick, E1C 1E6, Canada"
Hard Knox Brewery,/brewers/hard-knox-brewery/33522/,Microbrewery,"445 1 Avenue NE, Black Diamond, Alberta, T0L 0H0, Canada"
Hardisty Brewing Co.,/brewers/hardisty-brewing-co/42863/,Microbrewery,"Cole Harbour, Nova Scotia, Canada"
Harmon's Craft Brewing,/brewers/harmon39s-craft-brewing/47875/,Client Brewer,"Toronto, Ontario, Canada"
Hastings Mill Brewing Co.,/brewers/hastings-mill-brewing-co/9322/,Brewpub,"403 E Hastings, Vancouver, British Columbia, V6A1P6, Canada"
Haven Brewing Company,/brewers/haven-brewing-company/19665/,Microbrewery,"Unit 6, 687 Rye Street, Peterborough, Ontario, K9J 6X1, Canada"
Hawk Tail Brewery,/brewers/hawk-tail-brewery/42012/,Microbrewery,"6311 52nd St, Rimbey, Alberta, T0C 2J0, Canada"
Heathen's Brewing,/brewers/heathen39s-brewing/42677/,Brewpub/Brewery,"3300 14 Ave NE Unit 7, Calgary, Alberta, T2A 6J4, Canada"
Heilan Beer House,/brewers/heilan-beer-house/43147/,Brewpub,"9212 113 St, Fairview, Alberta, T0H 1L0, Canada"
Hell Bay Brewing Company,/brewers/hell-bay-brewing-company/13676/,Microbrewery,"38 Legion Street, Liverpool, Nova Scotia, B0T 1K0, Canada"
Hell's Basement Brewery,/brewers/hell39s-basement-brewery/28258/,Microbrewery,"#102, 552-18 St SW, Medicine Hat, Alberta, T1A8A7, Canada"
HELM - Microbrasserie sur Bernard,/brewers/helm-microbrasserie-sur-bernard/8373/,Brewpub,"273, Rue Bernard Ouest, Montréal, Quebec, H2V 1T5, Canada"
Henderson Brewing Company (Canada),/brewers/henderson-brewing-company-canada/25710/,Microbrewery,"128A Sterling Road, Toronto, Ontario, M6R 2B7, Canada"
Herald Street Brew Works,/brewers/herald-street-brew-works/44837/,Brewpub,"506 Herald St, Victoria, British Columbia, V8W 3N8, Canada"
Heritage Brewing Company (Canada),/brewers/heritage-brewing-company-canada/31834/,Microbrewery,"19 Kirk Street, Yarmouth, Nova Scotia, B5A 1S6, Canada"
Heritage Hops Brew Co.,/brewers/heritage-hops-brew-co/36956/,Microbrewery,"21 Marketplace, Stratford, Ontario, N5A1A4, Canada"
Herman Brasserie Artisanale,/brewers/herman-brasserie-artisanale/50068/,Microbrewery,"955 Chem. du Lac Écho Local 101, Prévost, Quebec, J0R 1T0, Canada"
High Key Brewing,/brewers/high-key-brewing/42898/,Brewpub/Brewery,"102 23 St E, Saskatoon, Saskatchewan, S7K 0J2, Canada"
High Line Brewing,/brewers/high-line-brewing/29494/,Microbrewery,"#113, 1318 9th Avenue S.E, Calgary, Alberta, T2G 0T3, Canada"
High Mountain Brewing Co. (Brewhouse; MJG - Mark James Group),/brewers/high-mountain-brewing-co-brewhouse-mjg-mark-james-group/1154/,Brewpub,"4355 Blackcomb Way, Whistler, British Columbia, V0N 1B4, Canada"
High Park Brewery,/brewers/high-park-brewery/24568/,Brewpub/Brewery,"839 Runnymede Rd, Toronto, Ontario, M6N 3V8, Canada"
High River Brewing Company,/brewers/high-river-brewing-company/41937/,Microbrewery,"510 21 St. SE, High River, Alberta, T1V 2A7, Canada"
